"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-08-22",,"56","68","38"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-08-25","0.43","55","68","39"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-08-26","0.08","53","69","41"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-08-27","0.08","57","67","42"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-08-28","0.00","57",,"42"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-08-29",,"54","70","40"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-08-31",,"56","72","44"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-09-01",,"56","66","42"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-09-02",,"56","67","40"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-09-03",,"55","67","37"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-09-05","0.16","54","68","48"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-09-06","0.00","55","67","46"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-09-07",,"57",,"46"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-09-08",,"56","66","47"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-09-11",,"54","69","45"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-09-12","0.03","55","69","39"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-09-13","0.12","55","70","38"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-09-14","0.12","56","70","43"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-09-15","0.00","61","70","43"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-09-16",,"61","70","45"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-09-18","0.16","55","68","41"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-09-19","0.00","57","68","42"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-09-20",,"56","69","44"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-09-23",,"62","76","48"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-09-24",,"57","75","46"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-09-25",,"58",,"46"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-09-26",,"60","69",
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-09-28",,"56","68","41"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-09-29",,"58","69","44"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-09-30","0.28","53","65","46"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-10-02","0.00","57","70","44"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-10-03","0.00","57","70","44"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-10-04","0.31","55","66","44"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-10-05","0.00","60",,"45"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-10-06",,"58","70","46"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-10-07",,"58","71","41"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-10-08",,"58","71","40"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-10-09",,"57","71","41"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-10-10",,"54","69","43"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-10-11","0.20","55",,"39"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-10-14","0.67","52","65","46"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-10-16","0.20","52","63","45"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-10-19",,"58","69",
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-10-20","0.02","54","69","40"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-10-21","0.16","54","68","45"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-10-22","0.28","54","64",
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-10-24","1.57","57","70","43"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-10-25","0.20","57","70","45"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-10-26","0.67","57","69","43"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-10-28","0.08","56",,"46"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-10-29","0.02","54","68","49"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-10-30","0.39","54","67","47"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-10-31","0.03","53","65","43"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-11-01","0.24","53","63","38"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-11-02","0.00","51","62","39"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-11-05",,"56","66","42"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-11-06",,"55","69","41"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-11-08",,"55","67","41"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-11-09","0.20","51","68","46"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-11-10","0.28","56","69","39"
"ECM00084088","IZOBAMBA, EC","-0.35","-78.55","3058.0","2013-11-11","0.00","57","69","47"
